Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
spotify:track:0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,spotify:artist:4gdMJYnopf2nEUcanAwstx,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Jo Tum Mere Ho,84,0.46,0.302,1,-12.934,0,0.0398,0.661,0,0.293,0.176,123.871,251813
spotify:track:0rlLBWFFTQiOWi963SH9bb,Choo Lo,spotify:artist:7b6Ui7JVaBDEfZB9k6nHL0,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,72,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.956,233630
spotify:track:0TL0LFcwIBF5eX7arDIKxY,Husn,spotify:artist:4gdMJYnopf2nEUcanAwstx,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Husn,78,0.527,0.376,5,-9.974,1,0.0298,0.682,0,0.142,0.24,151.928,217894
spotify:track:2gNMXJDKRmKWuevBGjN8wo,3:59 AM,spotify:artist:4Ai0pGz6GhQavjzaRhPTvz,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,61,0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,272197
spotify:track:7n6AQKpZUGiJM2auF3yuDY,All Black,spotify:artist:5UdFr0GeO7jKIaNIJgwB36,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",All Black,60,0.813,0.734,10,-5.464,0,0.0577,0.072,0,0.118,0.652,107.967,218145
spotify:track:2qb5ASYergjk2qNLvYEQJD,Khatta Flow,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,61,0.858,0.737,9,-7.077,1,0.266,0.284,0,0.117,0.717,140.055,152415
spotify:track:56lHtVpvNxFSKewJKpeYc3,Yaar Naa Miley,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Kick,60,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,243206
spotify:track:5XseQZ9TGr06Rv1Ye6wCu0,Dhundhala,spotify:artist:0TwG8C39WJIfFlcPrhxHST,Yashraj,55,"['desi hip hop', 'hindi hip hop']",Dhundhala,63,0.641,0.449,5,-9.568,0,0.162,0.133,6.39E-05,0.139,0.491,99.899,182400
spotify:track:54XrOdhUS2311wIt9m0OlD,Riha,spotify:artist:4gdMJYnopf2nEUcanAwstx,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Riha,61,0.395,0.148,3,-11.016,1,0.03,0.896,0,0.114,0.4,142.691,287312
spotify:track:5BKKKNwrebowaMoUdBaNby,Tu Aake Dekhle,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",The Carnival,72,0.77,0.838,11,-4.022,1,0.108,0.518,0.00398,0.145,0.187,96.016,270000
spotify:track:3bQsp4Vr9Rg4fNCx6HPOgX,Alag Aasmaan,spotify:artist:4gdMJYnopf2nEUcanAwstx,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Alag Aasmaan,72,0.699,0.299,6,-12.599,1,0.0403,0.869,0,0.0724,0.459,118.968,212750
spotify:track:7wW9scVNLYFLsmBb1yAUmS,Blue Eyes,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Blue Eyes,71,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,220943
spotify:track:4QL3uGdj4WNW40o3Vq33sw,Call Aundi,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Zorawar,60,0.656,0.701,10,-4.964,0,0.0387,0.578,0,0.137,0.664,159.934,216549
spotify:track:78PDj0uocOvtSJCdOt65qy,Aankhon Aankhon,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Bhaag Johnny,61,0.746,0.988,10,-4.565,0,0.0637,0.29,0.00218,0.131,0.61,130.042,244831
spotify:track:3yRLROmAcKJBqTrdEczFB8,Brown Rang,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",International Villager,66,0.804,0.902,11,-3.067,0,0.0846,0.265,0.000402,0.065,0.72,155.98,211394
